timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-04-27,125.5600,126.9900,125.4700,125.9200,124.2494,4920443,0.0000,1.0000
2020-04-24,122.4100,125.0000,120.7634,124.7200,123.0653,4985575,0.0000,1.0000
2020-04-23,119.5700,123.0300,119.1200,121.3500,119.7400,6873899,0.0000,1.0000
2020-04-22,119.8700,120.3300,117.5500,119.3100,117.7271,7085901,0.0000,1.0000
2020-04-21,114.0000,117.1450,112.0600,116.7600,115.2109,14341304,0.0000,1.0000
2020-04-20,119.1500,122.8635,118.1400,120.4100,118.8125,7965530,0.0000,1.0000
2020-04-17,119.3000,120.3900,117.9200,120.1200,118.5264,4964018,0.0000,1.0000
2020-04-16,119.0100,119.7500,114.4200,115.7300,114.1946,6438128,0.0000,1.0000
2020-04-15,119.1200,120.1852,116.7600,118.6900,117.1153,5632156,0.0000,1.0000
2020-04-14,123.4600,125.1800,122.6200,123.9100,122.2661,5087292,0.0000,1.0000
2020-04-13,121.6300,121.8000,118.0400,121.1500,119.5427,5118777,0.0000,1.0000
2020-04-09,120.4800,122.9200,120.1672,121.5000,119.8880,5576210,0.0000,1.0000
2020-04-08,116.3100,119.9600,115.0742,119.2900,117.7074,5155987,0.0000,1.0000
2020-04-07,118.8000,119.5700,114.8700,114.9400,113.4151,5592463,0.0000,1.0000
2020-04-06,110.3500,115.6300,110.1300,114.8200,113.2967,7026457,0.0000,1.0000
2020-04-03,108.9200,110.0700,104.9200,106.3400,104.9292,4538113,0.0000,1.0000
2020-04-02,105.3700,110.3200,105.1400,110.0000,108.5406,6327540,0.0000,1.0000
2020-04-01,106.3600,109.9200,104.5210,105.1400,103.7451,6111890,0.0000,1.0000
2020-03-31,112.0000,113.8100,110.1700,110.9300,109.4583,6342167,0.0000,1.0000
2020-03-30,108.0900,113.4600,107.8100,112.9300,111.4317,5562501,0.0000,1.0000
2020-03-27,108.5800,111.5000,107.6450,108.0300,106.5968,6421470,0.0000,1.0000
2020-03-26,106.9100,113.1500,105.5700,112.8900,111.3923,7153135,0.0000,1.0000
2020-03-25,105.4800,112.4779,102.8300,105.8500,104.4457,8646557,0.0000,1.0000
2020-03-24,99.9900,106.0400,99.2600,105.4800,104.0806,7967768,0.0000,1.0000
2020-03-23,94.6000,97.7400,90.5600,94.7700,93.5127,9718602,0.0000,1.0000
2020-03-20,100.9200,100.9900,94.7100,95.3900,94.1244,10543213,0.0000,1.0000
2020-03-19,102.3300,103.6900,98.2350,100.3400,99.0088,8391294,0.0000,1.0000
2020-03-18,99.4100,106.9345,99.4000,103.5500,102.1762,8751994,0.0000,1.0000
2020-03-17,100.6100,107.3950,97.1000,106.6500,105.2351,8887501,0.0000,1.0000
2020-03-16,98.0000,107.4100,95.0000,99.0800,97.7655,10564044,0.0000,1.0000
2020-03-13,108.6800,109.1600,100.8100,107.9500,106.5178,12493419,0.0000,1.0000
2020-03-12,109.6500,109.8000,102.2800,102.8100,101.4460,12485925,0.0000,1.0000
2020-03-11,121.0100,122.5800,116.3838,117.9700,116.4049,8446480,0.0000,1.0000
2020-03-10,122.7800,124.8800,115.7600,124.7700,123.1147,11403865,0.0000,1.0000
2020-03-09,120.1600,122.4100,117.2800,117.8100,116.2470,10750357,0.0000,1.0000
2020-03-06,126.7000,128.3300,124.5200,127.7300,126.0354,8192525,0.0000,1.0000
2020-03-05,130.5000,132.2900,128.4500,129.5500,127.8312,5445193,0.0000,1.0000
2020-03-04,131.5800,134.2800,129.0000,134.2200,132.4393,4994682,0.0000,1.0000
2020-03-03,134.4800,136.0950,127.8000,128.9000,127.1899,7893390,0.0000,1.0000
2020-03-02,130.7500,134.4400,127.9500,134.3000,132.5182,8528971,0.0000,1.0000
2020-02-28,129.9800,131.0900,126.3600,130.1500,128.4233,13009236,0.0000,1.0000
2020-02-27,137.2400,138.6900,133.0100,133.1100,131.3440,8404903,0.0000,1.0000
2020-02-26,142.9000,144.0600,139.6000,139.7500,137.8959,5407690,0.0000,1.0000
2020-02-25,146.5100,147.0700,141.2610,141.7100,139.8299,6210878,0.0000,1.0000
2020-02-24,145.5100,148.0500,145.3800,146.4300,144.4873,5447948,0.0000,1.0000
2020-02-21,151.0400,151.0400,148.8400,149.8400,147.8521,3536740,0.0000,1.0000
2020-02-20,150.8100,151.6200,149.5100,151.2200,149.2137,2880483,0.0000,1.0000
2020-02-19,151.5400,151.8900,150.3100,150.8600,148.8585,2732905,0.0000,1.0000
2020-02-18,149.7900,151.3800,149.6400,151.1000,149.0953,3343038,0.0000,1.0000
2020-02-14,154.4200,154.5600,149.7700,150.7000,148.7006,6095081,0.0000,1.0000
2020-02-13,154.3700,154.8300,153.4100,154.3100,152.2627,3819757,0.0000,1.0000
2020-02-12,153.7500,155.6000,153.5200,155.3100,153.2495,4437792,0.0000,1.0000
2020-02-11,155.1200,155.2200,152.7304,153.4800,151.4438,3833574,0.0000,1.0000
